brand_name,product_name,yt_username,overall_videos_viewcount_of_channel,channels_subscriber,first_five_avg_video_of_channel,engagement_rate_of_channel,video_views,video_duration,category,video_type,video_cost
mStock,mStock Trading App,@mantraearning,2619055,258000,25131,9.7,23907,00:09:07,Finance,Dedicated,62000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1246,1.6,4830,00:08:20,Finance,Dedicated,13000
mStock,mStock Trading App,@ispeakaboutmoney,8386685,116000,2766,2.4,7031,00:08:08,Finance,Integrated,10000
mStock,mStock Trading App,@nitinbhatia,82867171,1010000,3669,0.4,18687,00:42:00,Finance,Integrated,137500
mStock,mStock Trading App,@marketsupport,39396854,221000,2236,1.0,1697,00:08:13,Finance,Dedicated,20000
mStock,mStock Trading App,@optionsence,2388954,26500,713,2.7,851,00:13:03,Finance/Trading,Dedicated,5000
mStock,mStock Trading App,@stock4retail,73289194,776000,43515,5.6,24888,00:14:23,Finance,Integrated,9000
mStock,mStock Trading App,@ankitjainofficial,3791191,45900,322,0.7,4673,00:10:34,Finance,Dedicated,15000
mStock,mStock Trading App,@abhipancholivideos,620388,83600,590,0.7,959,00:10:35,Finance,Dedicated,11000
mStock,mStock Trading App,@abhishekkar,111548729,1480000,53680,3.6,55105,00:10:58,Finance,Integrated,100000
mStock,mStock Trading App,@missionmarketchannel,29256205,126000,11009,8.7,6841,00:15:46,Finance,Dedicated,8000
mStock,mStock Trading App,@stockmarketbadshah,23658119,115000,1530,1.3,892,00:10:23,Finance,Dedicated,7000
mStock,mStock Trading App,@howtoinvesthowtoinvest,13661568,235000,6913,2.9,15466,00:22:13,Finance,Dedicated,160000
mStock,mStock Trading App,@chargingpointhindi,29134952,237000,18839,7.9,1615,00:06:06,Finance,Dedicated,15000
mStock,mStock Trading App,@mstradinganalysis2877,11228855,71500,12201,17.1,15315,00:07:51,Finance,Dedicated,55000
mStock,mStock Trading App,@becomeinvestor,13030609,82700,1013,1.2,1137,00:13:27,Finance,Dedicated,22000
mStock,mStock Trading App,@moneysolution,22275901,160000,12444,7.8,17733,00:11:27,Finance,Dedicated,25000
mStock,mStock Trading App,@abhishekkar,111548729,1480000,53680,3.6,27375,00:06:57,Finance,Integrated,100000
mStock,mStock Trading App,@investmentwithtarun,11477545,113000,4408,3.9,1244,00:05:11,Finance,Dedicated,17000
mStock,mStock Trading App,@lts,25396548,236000,9199,3.9,969,00:09:16,Finance,Dedicated,6000
mStock,mStock Trading App,@lts,25396548,236000,9198,3.9,1227,00:13:47,Finance,Dedicated,7000
mStock,mStock Trading App,@camanojkumarjain,80805679,601000,20093,3.3,34160,00:29:23,Finance,Integrated,40000
mStock,mStock Trading App,@hindifinancialeducation,28597368,351000,1891,0.5,64303,00:23:41,Finance,Integrated,350000
mStock,mStock Trading App,@investmentwithtarun,11477545,113000,4408,3.9,1529,00:09:20,Finance,Dedicated,5000
mStock,mStock Trading App,@camanojkumarjain,80805679,601000,20092,3.3,2231,00:09:11,Finance,Integrated,2500
mStock,mStock Trading App,@namaskarprasad,421502948,2470000,47624,1.9,2879,00:10:07,Finance,Dedicated,22000
mStock,mStock Trading App,@mrscalperg,23857106,294000,11900,4.0,1633,00:06:23,Finance,Dedicated,35000
mStock,mStock Trading App,@mrscalperg,23857106,294000,11900,4.0,5508,00:07:39,Finance,Dedicated,37000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1247,1.6,18651,00:21:14,Finance,Dedicated,80000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,4240,00:08:03,Finance,Integrated,25000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1247,1.6,1493,00:05:58,Finance,Dedicated,5500
mStock,mStock Trading App,@money_matters,7969650,140000,14322,10.2,439,00:18:57,Finance/Trading,Dedicated,10000
mStock,mStock Trading App,@lts,25396548,236000,9199,3.9,5151,00:12:56,Finance,Dedicated,40000
mStock,mStock Trading App,@abhishekkar,111548729,1480000,53680,3.6,47130,00:11:03,Finance,Integrated,100000
mStock,mStock Trading App,@stock247bypoojasingh,26596506,268000,50701,18.9,32229,00:14:14,Finance,Dedicated,250000
mStock,mStock Trading App,@boomingbulls,235451106,2210000,44221,2.0,46599,00:21:22,Finance,Integrated,350000
mStock,mStock Trading App,@camanojkumarjain,80805679,601000,20093,3.3,101689,00:10:25,Finance,Dedicated,150000
mStock,mStock Trading App,@hindistocknews,16427003,180000,976,0.5,14792,01:00:01,Finance,Integrated,137500
mStock,mStock Trading App,@stock4retail,73289194,776000,43515,5.6,49741,00:14:06,Finance,Integrated,200000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,1835,00:08:02,Finance/Trading,Integrated,6000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,4180,00:09:03,Finance,Dedicated,20000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,3695,00:12:54,Finance,Dedicated,15000
mStock,mStock Trading App,@unboxingodisha,20703281,284000,2838,1.0,1606,00:10:39,Finance/Trading,Dedicated,5000
mStock,mStock Trading App,@harshearningtips,23009064,103000,16643,16.2,3193,00:13:01,Finance,Dedicated,15000
mStock,mStock Trading App,@technoearnz,4459978,106000,27110,25.6,1577,00:06:09,Finance,Dedicated,15000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,3172,00:14:28,Finance,Dedicated,25000
mStock,mStock Trading App,@sundaysarthak,270439940,1040000,33513,3.2,46312,00:11:59,Finance/Trading,Integrated,30000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,2244,00:11:01,Finance,Dedicated,15000
mStock,mStock Trading App,@chartwithtrade,1763326,26400,641,2.4,5719,00:08:47,Finance,Dedicated,17000
mStock,mStock Trading App,@hindifinancialeducation,28597368,351000,1891,0.5,1388,00:08:31,Finance,Dedicated,8000
mStock,mStock Trading App,@swingtraderatul,7216289,323000,11745,3.6,1434,00:10:07,Finance,Integrated,7000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,30806,00:16:02,Finance,Integrated,9000
mStock,mStock Trading App,@sathish_speaks_,4219732,84700,3898,4.6,33882,00:09:53,Finance,Dedicated,62000
mStock,mStock Trading App,@punjiguide,1583450,16100,2990,18.6,4137,00:09:00,Finance,Dedicated,13000
mStock,mStock Trading App,@swingtraderatul,7216289,323000,11745,3.6,4338,00:09:22,Finance/Trading,Dedicated,40000
mStock,mStock Trading App,@hindifinancialeducation,28597368,351000,1891,0.5,1538,00:05:19,Finance,Dedicated,17000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,510,00:09:37,Finance,Dedicated,12000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,1746,00:06:50,Finance,Integrated,17000
mStock,mStock Trading App,@swingtraderatul,7216289,323000,11745,3.6,2842,00:09:48,Finance,Dedicated,55000
mStock,mStock Trading App,@moneyinspires7417,4418004,169000,28440,16.8,2076,00:05:22,Finance,Dedicated,35000
mStock,mStock Trading App,@pravinkhetan,15353187,355000,1741,0.5,257554,00:13:44,Finance,Dedicated,40000
mStock,mStock Trading App,@jeeneshbhai5,90587,17600,28974,164.6,24979,00:19:37,Finance,Dedicated,80000
mStock,mStock Trading App,@yaxcrypto,481231,3460,775,22.4,24064,00:16:21,Finance,Integrated,9000
mStock,mStock Trading App,@fiacrypto,664148,6230,992,15.9,2690,00:13:20,Finance,Dedicated,13000
mStock,mStock Trading App,@paytmloot99,91083,2000,633,31.7,69111,00:06:56,Finance,Integrated,100000
mStock,mStock Trading App,@arshadcreation899,5252615,32800,991,3.0,12948,00:30:46,Finance,Integrated,137500
mStock,mStock Trading App,@harshearningtips,23009064,103000,16643,16.2,61137,00:11:19,Finance,Integrated,45000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,14777,00:18:14,Finance,Dedicated,40000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,79505,00:07:32,Finance,Integrated,100000
mStock,mStock Trading App,@harshearningtips,23009064,103000,16643,16.2,9423,00:09:29,Finance,Dedicated,15000
mStock,mStock Trading App,@cryptoearn18,5454874,29100,2868,9.9,5951,00:04:47,Finance,Dedicated,45000
mStock,mStock Trading App,@MoneyTalksWithPayal,90587,17600,1247,7.1,6536,00:16:26,Finance,Dedicated,13000
mStock,mStock Trading App,@TraderSakshi,83482,9570,2072,21.7,3627,00:13:54,Finance,Dedicated,25000
mStock,mStock Trading App,@fiacrypto,664148,6230,992,15.9,6618,00:08:51,Finance,Dedicated,55000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,12549,00:08:29,Finance/Trading,Integrated,15000
mStock,mStock Trading App,@harshearningtips,23009064,103000,16643,16.2,28698,00:20:07,Finance,Dedicated,80000
mStock,mStock Trading App,@cryptoearn18,5454874,29100,2868,9.9,57272,00:15:35,Finance,Integrated,9000
mStock,mStock Trading App,@earningbeast99,5478372,84200,8929,10.6,3807,00:08:37,Trading,Dedicated,9000
mStock,mStock Trading App,@earningbeast99,5478372,84200,8929,10.6,5252,00:13:31,Trading,Dedicated,7000
mStock,mStock Trading App,@namaskarprasad,421502948,2470000,47628,1.9,101901,00:13:39,Trading,Integrated,280000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,32666,00:09:29,Tech,Integrated,25000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1397,4.4,3790,00:13:35,Finance,Dedicated,40000
mStock,mStock Trading App,@cryptoearn18,5454874,29100,2868,9.9,4493,00:12:58,Finance,Dedicated,15000
mStock,mStock Trading App,@dhruvearner,13897931,301000,19951,6.6,8492,00:13:58,Finance,Dedicated,13000
mStock,mStock Trading App,@earningbeast99,5478372,84200,8929,10.6,16087,00:13:05,Finance,Dedicated,40000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,14072,00:13:31,Finance,Dedicated,35000
mStock,mStock Trading App,@mrscalperg,23857106,294000,11912,4.1,17619,00:14:32,Trading,Dedicated,30000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,2300,00:22:46,Finance,Dedicated,25000
mStock,mStock Trading App,@dhruvearner,13897931,301000,19951,6.6,63746,00:17:35,Finance/Trading,Integrated,60000
mStock,mStock Trading App,@cuteupdate,736862,107000,10038,9.4,64414,00:13:08,Finance/Trading,Integrated,9000
mStock,mStock Trading App,@earningbeast99,5478372,84200,8929,10.6,4241,00:16:25,Trading,Dedicated,10000
mStock,mStock Trading App,@earningmonkry,1612334,95400,2282,2.4,5470,00:09:23,Finance,Integrated,25000
mStock,mStock Trading App,@sharemarketinkannada,3266551,32100,1396,4.3,162933,00:12:26,Tech,Integrated,40000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,12549,00:08:29,Finance/Trading,Integrated,15000
mStock,mStock Trading App,@sathish_speaks_,4219732,84700,3899,4.6,1779,00:09:42,Finance/Trading,Dedicated,15000
mStock,mStock Trading App,@cuteupdate,736862,107000,10038,9.4,29761,00:11:37,Tech,Integrated,35000
mStock,mStock Trading App,@harshearningtips,23009064,103000,16643,16.2,20132,00:16:25,Finance,Integrated,40000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,6889,00:13:11,Finance,Integrated,27000
mStock,mStock Trading App,@financeshivani99,285628,266000,37118,14.0,212643,00:10:47,Tech,Integrated,30000
mStock,mStock Trading App,@rajkumarsharmabusinesscoach,3769615,102000,1394,1.4,59000,00:09:22,Tech/Infotainment,Integrated,25000
mStock,mStock Trading App,@insurancetechnical,49875380,620000,3290,0.5,12664,00:12:21,Finance,Integrated,33000
mStock,mStock Trading App,@mrscalperg,23857106,294000,11912,4.1,494675,00:18:54,Trading,Integrated,30000
mStock,mStock Trading App,@mrscalperg,23857106,294000,11912,4.1,1846,00:11:05,Finance/Trading,Dedicated,6000
mStock,mStock Trading App,@ffreedomapptelugu,1130622795,3410000,484020,14.2,2285,00:10:10,Tech,Integrated,5000
mStock,mStock Trading App,@ffreedomapptelugu,1130622795,3410000,484020,14.2,21484,00:12:17,Finance,Integrated,8000
mStock,mStock Trading App,@mrscalperg,23857106,294000,11912,4.1,16898,00:12:18,Trading,Dedicated,30000
mStock,mStock Trading App,@techreporttelugu,83816421,448000,15091,3.4,35976,00:08:22,Tech,Integrated,20000
mStock,mStock Trading App,@ginilijogeorgge,63473993,168000,10856,6.5,104915,00:13:32,Tech,Integrated,50000
mStock,mStock Trading App,@nabeelafridi,22190009,183000,30629,16.7,53030,00:04:53,Tech,Integrated,38500
mStock,mStock Trading App,@cashitijgupta,17672095,123000,4087,3.3,51423,00:10:52,Tech,Integrated,45000
mStock,mStock Trading App,@nikitaksthakur,130364382,1300000,788613,60.7,10474,00:08:36,Finance,Dedicated,55000
mStock,mStock Trading App,@vibrationsofmind,37833467,235000,10032,4.3,4747,00:09:53,Finance,Dedicated,20000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1250,1.6,5176,00:09:56,Finance,Dedicated,13000
mStock,mStock Trading App,@nikitaksthakur,130364382,1300000,788613,60.7,1115114,00:12:33,Finance,Dedicated,100000
mStock,mStock Trading App,@vibrationsofmind,37833467,235000,10032,4.3,1886,00:11:54,Finance,Dedicated,7000
mStock,mStock Trading App,@cashitijgupta,17672095,123000,4087,3.3,10210,00:08:55,Finance,Dedicated,35000
mStock,mStock Trading App,@cashitijgupta,17672095,123000,4087,3.3,41018,00:09:06,Finance,Integrated,50000
mStock,mStock Trading App,@cashitijgupta,17672095,123000,4087,3.3,2861,00:06:24,Finance,Dedicated,17000
mStock,mStock Trading App,@moneysolution,22275901,160000,12475,7.8,101535,00:10:53,Finance,Integrated,80000
mStock,mStock Trading App,@lts,25396548,236000,9199,3.9,14215,00:11:35,Finance,Dedicated,23000
mStock,mStock Trading App,@investright7943,9579927,131000,20004,15.3,2617,00:17:28,Finance,Dedicated,25000
mStock,mStock Trading App,@lts,25396548,236000,9199,3.9,1391,00:11:15,Finance,Dedicated,7000
mStock,mStock Trading App,@cashitijgupta,17672095,123000,4087,3.3,14282,00:09:07,Finance,Integrated,15000
mStock,mStock Trading App,@investaajforkal,596861635,2750000,14143,0.5,326089,00:17:47,Finance,Integrated,500000
mStock,mStock Trading App,@lts,25396548,236000,9198,3.9,2179,00:06:07,Finance,Dedicated,35000
mStock,mStock Trading App,@ffreedomapptelugu,1130622795,3410000,484020,14.2,828,00:06:18,Finance,Dedicated,15000
mStock,mStock Trading App,@camanojkumarjain,80805679,601000,20092,3.3,75137,00:15:15,Finance,Dedicated,150000
mStock,mStock Trading App,@viveksinghrana51,21449259,177000,3027,1.7,1241,00:05:41,Finance,Dedicated,4500
mStock,mStock Trading App,@trade2day,1766087,26000,650,2.5,1015,00:11:01,Finance,Dedicated,7000
mStock,mStock Trading App,@theharshdalal,5699665,68900,1826,2.6,1398,00:08:13,Finance,Dedicated,10000
mStock,mStock Trading App,@theharshdalal,5699665,68900,1826,2.6,2849,00:11:08,Finance,Dedicated,20000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1250,1.6,1965,00:11:21,Finance,Dedicated,13000
mStock,mStock Trading App,@anshumanfinance,358681979,853000,253153,29.7,84567,00:15:23,Finance,Integrated,110000
mStock,mStock Trading App,@abhishekkar,111548729,1480000,53683,3.6,37197,00:07:55,Finance,Integrated,100000
mStock,mStock Trading App,@techinkannada360,140630067,1000000,46640,4.7,27843,00:09:02,Finance,Integrated,65000
mStock,mStock Trading App,@umerqureshi,304130835,1720000,2504441,145.6,736265,00:44:41,Finance,Integrated,60000
mStock,mStock Trading App,@mybiniyog,20596343,252000,37052,14.7,35658,00:27:16,Finance,Integrated,40000
mStock,mStock Trading App,@tonifinance,28194969,281000,6704,2.4,957,00:07:17,Finance,Dedicated,7000
mStock,mStock Trading App,@tradingkannada,2465164,59100,2924,4.9,12517,00:11:06,Finance,Integrated,7000
mStock,mStock Trading App,@getsetfly,1158353120,7900000,599178,7.6,695221,00:12:10,Finance,Integrated,130000
mStock,mStock Trading App,@money_matters,7969650,140000,14322,10.2,6354,00:15:09,Finance,Integrated,4000
mStock,mStock Trading App,@missionmarketchannel,29256205,126000,11019,8.7,3560,00:11:05,Finance,Dedicated,5000
mStock,mStock Trading App,@gizmogyan,190245708,1250000,47745,3.8,61999,00:12:06,Finance,Integrated,150000
mStock,mStock Trading App,@tradeswings,30508489,320000,1245,0.4,5583,00:24:53,Finance,Dedicated,33000
mStock,mStock Trading App,@siddhantkesiddhant,4870571,80500,1096,1.4,2292,00:10:43,Finance,Integrated,40000
mStock,mStock Trading App,@thebullofdalalstreet,5335716,57100,1671,2.9,18035,00:14:52,Finance,Integrated,15000
mStock,mStock Trading App,@investmentwithtarun,11477545,113000,4408,3.9,4055,00:08:11,Finance,Dedicated,17000
mStock,mStock Trading App,@himanshutrader,946953,25800,2051,8.0,2827,00:06:26,Finance,Dedicated,10000
mStock,mStock Trading App,@deekayfinancials,4441302,294000,9399,3.2,4402,00:10:48,Finance,Integrated,20000
mStock,mStock Trading App,@tech4mob,112753092,763000,40629,5.3,119200,00:11:59,Finance,Integrated,65000
mStock,mStock Trading App,@tradingwithsidhant,21581727,446000,30029,6.7,41891,00:20:45,Finance,Integrated,30000
mStock,mStock Trading App,@sahilbhadviya,53867819,505000,58014,11.5,59714,00:22:49,Finance,Integrated,225000
mStock,mStock Trading App,@joshtalksmoney,48771112,733000,34288,4.7,6531,00:09:28,Finance,Dedicated,150000
mStock,mStock Trading App,@stock247bypoojasingh,26596506,268000,50701,18.9,8765,00:10:17,Finance,Dedicated,25000
mStock,mStock Trading App,@pravinkhetan,15353187,355000,1741,0.5,7253,00:16:28,Finance,Dedicated,40000
mStock,mStock Trading App,@knowledgejazz,33765605,244000,10640,4.4,10782,00:06:47,Finance,Dedicated,35000
mStock,mStock Trading App,@venomstech,227669258,917000,124130,13.5,234288,00:08:24,Finance,Integrated,40000
mStock,mStock Trading App,@sundaysarthak,270439940,1040000,402873,38.7,463404,00:23:04,Infotainment,Integrated,130000
mStock,mStock Trading App,@boomingbulls,235451106,2210000,44229,2.0,49849,00:16:42,Finance,Integrated,350000
mStock,mStock Trading App,@bazarkepandit,61303135,368000,3317,0.9,1410,00:05:21,Finance,Dedicated,35000
mStock,mStock Trading App,@7dreamsindiaofficial,8492641,228000,2788,1.2,3200,00:13:22,Finance,Integrated,15000
mStock,mStock Trading App,@7dreamsindiaofficial,8492641,228000,2788,1.2,123465,00:20:20,Infotainment,Integrated,40000
mStock,mStock Trading App,@sundaysarthak,270439940,1040000,402873,38.7,626570,00:20:36,Infotainment,Integrated,130000
mStock,mStock Trading App,@knowledgejazz,33765605,244000,10640,4.4,9560,00:08:10,Finance,Dedicated,35000
mStock,mStock Trading App,@stock247bypoojasingh,26596506,268000,50701,18.9,3828,00:10:24,Finance,Dedicated,25000
mStock,mStock Trading App,@stockmarketbadshah,23658119,115000,1532,1.3,1647,00:10:37,Finance,Dedicated,7000
mStock,mStock Trading App,@moneytalkswithpayal,6548590,79000,1251,1.6,5360,00:13:44,Finance,Dedicated,13000
mStock,mStock Trading App,@shubh_kadam__,2636947,43400,1281,3.0,1214,00:13:32,Finance,Dedicated,7000
mStock,mStock Trading App,@mstradinganalysis2877,11228855,71500,12215,17.1,8997,00:09:50,Finance,Dedicated,55000
mStock,mStock Trading App,@pravinkhetan,15353187,355000,1741,0.5,6974,00:13:14,Finance,Dedicated,40000
mStock,mStock Trading App,@stock4retail,73289194,776000,34972,4.5,43789,00:17:17,Finance,Integrated,9000
mStock,mStock Trading App,@lts,25396548,236000,9199,3.9,4049,00:07:44,Finance,Dedicated,25000
mStock,mStock Trading App,@swingtradertheartoflearning,31263073,91800,6367,6.9,16613,00:11:13,Finance,Integrated,3000
mStock,mStock Trading App,@mybiniyog,20596343,252000,37052,14.7,18305,00:22:27,Finance,Integrated,40000
mStock,mStock Trading App,@sharemarketanalysis,62896131,258000,2405,0.9,6055,00:07:42,Finance,Dedicated,7000
mStock,mStock Trading App,@7dreamsindiaofficial,8492641,228000,2788,1.2,2229,00:10:54,Finance,Integrated,15000
